Date,Occupancy_Mean,Total_Entries,Total_Exits,Net_Change,Occupancy_Max,Occupancy_Min,Occupancy_Std,DayOfWeek,Month,Day,IsWeekend,Quarter,WeekOfYear,Occupancy_Mean_Lag1,Occupancy_Mean_Lag7,Occupancy_Mean_Lag14,Occupancy_Mean_RollingMean7,Occupancy_Mean_RollingStd7,Occupancy_Mean_RollingMean14,Occupancy_Mean_RollingStd14,Occupancy_Mean_RollingMean30,Occupancy_Mean_RollingStd30,Garage
2011-04-01,175.0,189.0,161.0,28.0,175.0,175.0,0,4,4,1,0,2,13,,,,175.0,,175.0,,175.0,,16th_and_hoff
2011-04-02,175.0,175.0,175.0,0.0,175.0,175.0,0,5,4,2,1,2,13,175.0,,,175.0,0.0,175.0,0.0,175.0,0.0,16th_and_hoff
2011-04-03,171.5,161.0,182.0,-21.0,171.5,171.5,0,6,4,3,1,2,13,175.0,,,173.83333333333334,2.0207259421636943,173.83333333333334,2.0207259421636943,173.83333333333334,2.0207259421636943,16th_and_hoff
2011-04-04,126.0,126.0,126.0,0.0,126.0,126.0,0,0,4,4,0,2,14,171.5,,,161.875,23.973509686040273,161.875,23.973509686040273,161.875,23.973509686040273,16th_and_hoff
2011-04-05,104.0,103.0,105.0,-2.0,104.0,104.0,0,1,4,5,0,2,14,126.0,,,150.3,33.18056660155158,150.3,33.18056660155158,150.3,33.18056660155158,16th_and_hoff
2011-04-06,127.5,128.0,127.0,1.0,127.5,127.5,0,2,4,6,0,2,14,104.0,,,146.5,31.103054512378687,146.5,31.103054512378687,146.5,31.103054512378687,16th_and_hoff
2011-04-07,123.0,121.0,125.0,-4.0,123.0,123.0,0,3,4,7,0,2,14,127.5,,,143.14285714285714,29.74994997994995,143.14285714285714,29.74994997994995,143.14285714285714,29.74994997994995,16th_and_hoff
2011-04-08,157.5,166.0,149.0,17.0,157.5,157.5,0,4,4,8,0,2,14,123.0,175.0,,140.64285714285714,27.257589594022996,144.9375,28.006934727976624,144.9375,28.006934727976624,16th_and_hoff
2011-04-09,200.5,206.0,195.0,11.0,200.5,200.5,0,5,4,9,1,2,14,157.5,175.0,,144.28571428571428,33.58429338105481,151.11111111111111,32.08365800701521,151.11111111111111,32.08365800701521,16th_and_hoff
2011-04-10,190.5,180.0,201.0,-21.0,190.5,190.5,0,6,4,10,1,2,14,200.5,171.5,,147.0,36.7672861839616,155.05,32.712934920473145,155.05,32.712934920473145,16th_and_hoff
2011-04-11,89.0,88.0,90.0,-2.0,89.0,89.0,0,0,4,11,0,2,15,190.5,126.0,,141.71428571428572,42.50182068929239,149.04545454545453,36.87441833131375,149.04545454545453,36.87441833131375,16th_and_hoff
2011-04-12,102.5,103.0,102.0,1.0,102.5,102.5,0,1,4,12,0,2,15,89.0,104.0,,141.5,42.72684558135943,145.16666666666666,37.63843135880553,145.16666666666666,37.63843135880553,16th_and_hoff
2011-04-13,107.5,108.0,107.0,1.0,107.5,107.5,0,2,4,13,0,2,15,102.5,127.5,,138.64285714285714,44.45289106244412,142.26923076923077,37.51978110755678,142.26923076923077,37.51978110755678,16th_and_hoff
2011-04-14,128.5,128.0,129.0,-1.0,128.5,128.5,0,3,4,14,0,2,15,107.5,123.0,,139.42857142857142,44.17807579504093,141.28571428571428,36.23519022978921,141.28571428571428,36.23519022978921,16th_and_hoff
2011-04-15,161.0,175.0,147.0,28.0,161.0,161.0,0,4,4,15,0,2,15,128.5,157.5,175.0,139.92857142857142,44.43574815715062,140.28571428571428,35.41713746724355,142.6,35.286176977880245,16th_and_hoff
2011-04-16,216.5,213.0,220.0,-7.0,216.5,216.5,0,5,4,16,1,2,15,161.0,200.5,175.0,142.21428571428572,48.31309099928055,143.25,39.98785873429392,147.21875,38.774118838042824,16th_and_hoff
2011-04-17,178.0,170.0,186.0,-16.0,178.0,178.0,0,6,4,17,1,2,15,216.5,190.5,171.5,140.42857142857142,46.42505481187626,143.71428571428572,40.37693281190021,149.02941176470588,38.27795979257977,16th_and_hoff
2011-04-18,82.5,81.0,84.0,-3.0,82.5,82.5,0,0,4,18,0,2,16,178.0,89.0,126.0,139.5,47.67336782733102,140.60714285714286,43.40514794505219,145.33333333333334,40.310194302507185,16th_and_hoff
2011-04-19,103.0,103.0,103.0,0.0,103.0,103.0,0,1,4,19,0,2,16,82.5,102.5,104.0,139.57142857142858,47.60902275429572,140.53571428571428,43.47079668967622,143.10526315789474,40.36038312895196,16th_and_hoff
